Nomenclature,Noun,Software_Noun,Description,Dimensional_Analysis,English_System,International_System,Parameter_Type,Check,Classification
$\mathbf J$,Diffusion/dispersion,,,$M / (Lt^{2})$,$lbm / (ft^{2} D)$,$kg * mole / m^{2} D$,Mathematical,Physical,
$\mathbf D_i$,Diffusion/dispersion of component i,,,$L^{2} / t$,$ft^{2} / D$,$m^{2} / D$,Mathematical,Physical,
$\mathbf J_i$,Diffusion/dispersion of component i,,,$M / (Lt^{2})$,$lbm / (ft^{2} D)$,$kg * mole / m^{2} D$,Mathematical,Physical,
$\delta(x)$,Dirac delta function,,,$1 / L^{3}$,$1 / ft^{3}$,$1 / m^{3}$,Mathematical,,
$\nabla\cdotp$,Divergence operator,,,$L^{-1}$,$ft^{-1}$,$m^{-1}$,Mathematical,,
$K_h$,Domain partition,,,$dimensionless$,$dimensionless$,$dimensionless$,Mathematical,,
$\mathcal{K}$,Empirical or experimental constant,,,$dimensionless$,$dimensionless$,$dimensionless$,Mathematical,Physical,
$H_\alpha$,Enthalpy of α-phase,,,$L^{2} / L^{2}$,$BTU / lbm$,$J / kg$,Physical,,
$\Omega_{ma}$,Equations of state parameter of components m ,,,$dimensionless$,$dimensionless$,$dimensionless$,Mathematical,,
$\Omega_{mb}$,Equations of state parameter of components m ,,,$dimensionless$,$dimensionless$,$dimensionless$,Mathematical,,
$K_m$,Equilibrium K-value of component m,,,$dimensionless$,$dimensionless$,$dimensionless$,Physical,,
$K_{m\alpha}$,Equilibrium value of component m in phase α ,,,$dimensionless$,$dimensionless$,$dimensionless$,Physical,,
$a$,Generic coefficient,,,$dimensionless$,$dimensionless$,$dimensionless$,Mathematical,,
$b$,Generic coefficient ,,,$dimensionless$,$dimensionless$,$dimensionless$,Mathematical,,
$C$,Generic constant ,,,$dimensionless$,$dimensionless$,$dimensionless$,Mathematical,,
$\nabla$,Gradient operator,,,$L^{-1}$,$ft^{-1}$,$m^{-1}$,Mathematical,,
$\wp$,Gravitational acceleration,,,$L / t^{2}$,$ft / D^{2}$,$ft / D^{2}$,Physical,,
$h$,Grid step size,,,$L$,$ft$,$m$,Physical,,
$h_i$,Grid step size in xi- direction,,,$L$,$ft$,$m$,Physical,,
$q_L$,Heat loss,,,$M / Lt^{3}$,$Btu / (ft^{3} D)$,$J / (m^{3} D)$,Physical,,
$\mathbf I$,Identity tensor,,,$dimensionless$,$dimensionless$,$dimensionless$,Physical,,
$t_0$,Initial time,,,$t$,$D$,$D$,Physical,,
$\delta_{jk}$,Kronecker symbol,,,$dimensionless$,$dimensionless$,$dimensionless$,Mathematical,,
$\Delta$,Laplacian operator,,,$L^{-2}$,$ft^{-2}$,$m^{-2}$,Mathematical,,
$L$,Length of domain Ω in x1- direction ,,,$fraction$,$fraction$,$fraction$,Physical,,
$d_l$,Longitudinal dispersion,,,$L$,$ft$,$m$,Mathematical,Physical,
$\rho_{s}$,Mass density of solid,,,$M / L^{3}$,$lbm / ft^{3}$,$kg / m^{3}$,Physical,,
$DS_{max}$,Max variation of saturation,,,$fraction$,$fraction$,$fraction$,Physical,,
$\lambda_\alpha$,Mobility of phase α,,,$Lt / M$,$ft D / lbm$,$m D / kg$,Physical,,
$\mathbf x$,Mole vector ,,,$mole$,$mole$,$mole$,Mathematical,,
$d_m$,Molecular diffusion,,,$L^{2} / t$,$ft^{2} / D$,$m^{2} / D$,Mathematical,Physical,
$N_c$,Number of components,,,$dimensionless$,$dimensionless$,$dimensionless$,Physical,,
$n_i$,Number of moles of component i,,,$mole$,$mole$,$mole$,Physical,,
$n_{m\alpha}$,Number of moles of component i in phase α,,,$mole$,$mole$,$mole$,Physical,,
$n_\alpha$,Number of moles of phase α,,,$mole$,$mole$,$mole$,Physical,,
$a_{num}$,Numerical dispersion,,,$dimensionless$,$dimensionless$,$dimensionless$,Mathematical,Physical,
$v$,Outward unit normal,,,$dimensionless$,$dimensionless$,$dimensionless$,Mathematical,,
$\theta$,Polar coordinate ,,,$rad$,$rad$,$rad$,Mathematical,,
$\Phi$,Potential,,,$M / (Lt^{2})$,$lbm / (ft D^{2})$,$kg / (m D^{2})$,Physical,,
$\Delta\Phi_\alpha$,Potential difference of phase α,,,$M / (Lt^{2})$,$psi$,$kPa$,Physical,,
$r$,Radial coordinate,,,$L$,$ft$,$m$,Mathematical,,
$\xi_{r}$,Reduced density,,,$dimensionless$,$dimensionless$,$dimensionless$,Physical,,
$T_{rm}$,Reduced temperature of component i,,,$dimensionless$,$dimensionless$,$dimensionless$,Physical,,
$\rho^{o}$,Reference density,,,$M / L^{3}$,$lbm / ft^{3}$,$kg / m^{3}$,Physical,,
"$R^{l}_{i,j,k}$",Residual of Newton–Raphson iteration,,,$dimensionless$,$dimensionless$,$dimensionless$,Physical,,
$G^{n}_i$,Right-hand side vector,,,$dimensionless$,$dimensionless$,$dimensionless$,Mathematical,,
$d^{'}_m$,Scaled molecular diffusion,,,$L^{2} / t$,$ft^{2} / D$,$m^{2} / D$,Mathematical,Physical,
$\dfrac{\partial^{2}}{\partial x^{2}_i}$,Second spatial derivative,,,$L^{-2}$,$ft^{-2}$,$m^{-2}$,Mathematical,,
$\epsilon$,Small parameter,,,$dimensionless$,$dimensionless$,$dimensionless$,Physical,,
$\Omega$,Solution domain,,,$L^{3}$,$ft^{3}$,$m^{3}$,Mathematical,,
$\dfrac{\partial}{\partial x_i}$,Spatial derivative,,,$L^{-1}$,$ft^{-1}$,$m^{-1}$,Mathematical,Physical,
$\mathbf {x}^{\star}$,Spatial variable,,,$L$,$ft$,$m$,Mathematical,,
$\mathbf {x}^{\star\star}$,Spatial variable,,,$L$,$ft$,$m$,Mathematical,,
$\mathbf x$,"Spatial variable (x 1 , x 2 , x 3 )",,,$L$,$ft$,$m$,Mathematical,,
$U_\alpha$ ,Specific internal energy of phase α,,,$L^{2} / L^{2}$,$BTU / lbm$,$J / kg$,Physical,,
$J^{n}$,"Subinterval in time (t n−1 , t n ]",,,$t$,$D$,$D$,Physical,,
$T$,Temperature,,,$T$,$R$,$K$,Physical,,
$T_{ob}$,Temperature of overburden,,,$T$,$R$,$K$,Physical,,
$T_{ub}$,Temperature of underburden,,,$T$,$R$,$K$,Physical,,
$t$,Time,,,$t$,$D$,$D$,Physical,,
$\dfrac{\partial}{\partial t}$,Time derivative,,,$t^{-1}$,$D^{-1}$,$D^{-1}$,Mathematical,Physical,
$t^{n}$,Time level n,,,$t$,$D$,$D$,Physical,,
$F_m$,Total mass of component m,,,$M / L^{3}$,$lbm / ft^{3}$,$kg / m^{3}$,Physical,,
$F$,Total mass variable,,,$M / L^{3}$,$lbm / ft^{3}$,$kg / m^{3}$,Mathematical,Physical,
$\lambda$,Total mobility,,,$Lt / M$,$ft D / lbm$,$m D / kg$,Physical,,
$n$,Total number of moles,,,$dimensionless$,$dimensionless$,$dimensionless$,Physical,,
$d_t$,Transverse dispersion,,,$L$,$ft$,$m$,Mathematical,Physical,
$R^{n}_{i}$,Truncation error,,,$dimensionless$,$dimensionless$,$dimensionless$,Mathematical,,
$k_{rc}$,Value of k row at S wc : k row (S wc ),,,$dimensionless$,$dimensionless$,$dimensionless$,Physical,,
$f_w$,Water cut,,,$fraction$,$fraction$,$fraction$,Physical,,
